,alloy_name,phases,phase_code,R_delta,S_config,VEC,R_cov_delta,density_avg,E_delta,G_delta,B_delta,EN_Allen_avg,Vm_delta,E_coh_avg,E_coh_delta,H_ch_M_L_R,H_el_M_S_R
282,CoCrFeMnNiV0.5,FCC+Im,4,0.155209443,0.697468151,0.620889749,0.23782133,0.455448298,0.204151681,0.145318423,0.302569565,0.725564547,0.073749483,0.344795362,0.32961966,0.722222222,0.025641026
283,CoCrFeMnNiV0.75,FCC+Im,4,0.155721832,0.710825872,0.604070305,0.269204944,0.447947235,0.221861815,0.157378349,0.29435458,0.709911236,0.088739578,0.353770887,0.340965531,0.704434698,0.033073207
284,CoCrFeMnNiV1.0,FCC+Im,4,0.155826204,0.714373348,0.588652482,0.292368515,0.44107126,0.236451993,0.167532923,0.286672263,0.695562367,0.099625673,0.361998453,0.348822768,0.689814815,0.039390561
285,CoCrFeMo0.5Ni,FCC+Im,4,0.130169678,0.565971567,0.659574468,0.293919963,0.510522242,0.312341381,0.125226919,0.120106986,0.718949893,0.171438599,0.422521892,0.369133942,0.768031189,0.121516165
286,CoCrFeNb0.103Ni,FCC+Im,4,0.102902574,0.486852703,0.683462887,0.22445288,0.49043715,0.203222061,0.134555104,0.072205503,0.759848773,0.130453695,0.387558476,0.242941878,0.7417154,0.03604608
287,CoCrFeNb0.155Ni,FCC+Im,4,0.127721287,0.504520621,0.677838373,0.262632372,0.49086785,0.214548929,0.141482849,0.095901066,0.752572395,0.16403785,0.394609006,0.295460344,0.723440546,0.050167224
288,CoCrFeNb0.206Ni,FCC+Im,4,0.147412642,0.518631018,0.672457111,0.294710539,0.491279923,0.224910255,0.147868592,0.115719329,0.74561071,0.190682773,0.40135461,0.33635434,0.706140351,0.063545151
289,CoCrFeNb0.309Ni,FCC+Im,4,0.178784482,0.540491741,0.661977487,0.348002848,0.492082405,0.243931062,0.159711981,0.149239184,0.732053325,0.232644159,0.414491194,0.399556314,0.673976608,0.088442958
290,CoCrFeNb0.412Ni,FCC+Im,4,0.203057494,0.556136763,0.651987166,0.390388288,0.492847419,0.260839961,0.170374122,0.177070635,0.719128946,0.264362044,0.42701442,0.446361331,0.644980507,0.111111111
291,CoCuFeMnNiSn0.05,FCC+Im,4,0.198681225,0.61384207,0.794396461,0.095115441,0.505763694,0.229453402,0.122184282,0.33733916,0.823872153,0.21614647,0.301237651,0.322605706,0.916666667,0.058342624
292,CoCuFeMnNiSn0.08,FCC+Im,4,0.223104903,0.625139599,0.790249623,0.103808431,0.505164844,0.241228562,0.12833042,0.337385798,0.823835687,0.281002601,0.300447619,0.323615948,0.916179337,0.090672612
293,CoCuFeMnNiSn0.10,FCC+Im,4,0.237731792,0.631692847,0.787512168,0.109300543,0.504769525,0.248773061,0.132275577,0.337412048,0.823811614,0.316572134,0.299926094,0.324272791,0.915935673,0.112225938
294,CoCuFeMnNiSn0.20,FCC+Im,4,0.297615371,0.65717309,0.774140753,0.133734482,0.502838543,0.283447266,0.150473646,0.337487693,0.82369403,0.44650889,0.297378647,0.3273667,0.914473684,0.213675214
295,CoCuFeNiSn0.07,FCC+Im,4,0.188919934,0.473186628,0.858922753,0.05651215,0.529949387,0.271662492,0.1437563,0.115945033,0.852175154,0.300082626,0.343009438,0.190935068,0.998294347,0.101820884
296,CoCuFeNiSn0.1,FCC+Im,4,0.223785981,0.485703102,0.853312576,0.072552441,0.529030429,0.284333559,0.15036496,0.119189399,0.851922877,0.361727541,0.341724922,0.19543739,0.997563353,0.142697882
297,CoCuFeNiSn0.2,FCC+Im,4,0.308375031,0.517104901,0.835190814,0.115685936,0.526062049,0.322732793,0.170471118,0.129163858,0.851107981,0.50282412,0.337575729,0.209145986,0.995126706,0.271274619
298,CoCuFeNiSn0.5,FCC+Im,4,0.45047692,0.565971567,0.785657998,0.196827776,0.517948477,0.414289477,0.218837664,0.153111844,0.848880597,0.706569529,0.326234602,0.241239729,0.988547758,0.589371981
299,CoFeMo0.2NiV,FCC+Im,4,0.135810011,0.517104901,0.646065518,0.406068857,0.472763501,0.306672881,0.145275535,0.095494402,0.706328054,0.170332083,0.445204146,0.268953339,0.629385965,0.100706057
300,CoFeMo0.4NiV,FCC+Im,4,0.150730312,0.554566614,0.633784655,0.422733669,0.482105723,0.344708244,0.160933573,0.132547848,0.686585336,0.192889558,0.462162244,0.324774819,0.636939571,0.132292828
301,CoFeMo0.6NiV,FCC+Im,4,0.161751906,0.574137446,0.622571693,0.434578871,0.490635577,0.369022433,0.171116582,0.156017423,0.668559377,0.208741545,0.477645725,0.361365452,0.644249513,0.157933854
302,CoFeMo0.8NiV,FCC+Im,4,0.170083798,0.583380273,0.612293144,0.442876,0.498454611,0.384920332,0.17784066,0.171961403,0.652035581,0.220136341,0.491838915,0.386648159,0.651072125,0.178743961
303,CoFeMoNi1.2V,FCC+Im,4,0.174744183,0.583928265,0.615930169,0.450533848,0.507581518,0.386597225,0.178715733,0.179133445,0.64738806,0.229172933,0.500760983,0.401346084,0.654483431,0.19509476
304,CoFeMoNi1.4V,FCC+Im,4,0.172998403,0.578702003,0.628053586,0.451635244,0.509371699,0.378405931,0.175357342,0.17531558,0.657160625,0.229541011,0.496931661,0.398058176,0.652534113,0.193979933
305,CoFeMoNi1.6V,FCC+Im,4,0.171240146,0.571174643,0.639311044,0.451978487,0.51103401,0.37066305,0.172156778,0.171670968,0.666235151,0.229575781,0.493375863,0.394712653,0.651315789,0.192121888
306,CoFeMoNi1.8V,FCC+Im,4,0.169480506,0.56198979,0.649792125,0.451699229,0.512581679,0.363329108,0.169102194,0.168187182,0.674683847,0.229335188,0.490065291,0.391333258,0.65082846,0.190263842
307,CoFeMoNi2V,FCC+Im,4,0.167727988,0.551612685,0.659574468,0.450907193,0.51402617,0.356369334,0.166182932,0.164852968,0.682569296,0.228866487,0.486975425,0.387938872,0.65082846,0.188034188
308,CoFeMoNiV,FCC+Im,4,0.176463017,0.585938385,0.602836879,0.448505089,0.505648122,0.39528195,0.182245164,0.183138321,0.636833689,0.228399931,0.504896651,0.404546461,0.657651072,0.196209588
309,CoFeNiSi0.5,FCC+Im,4,0.127114478,0.404436143,0.700101317,0.041994234,0.438785116,0.220208203,0.113243618,0.155113205,0.866699665,0.128642725,0.39155837,0.02239265,0.608674464,0.04384987
310,CoFeNiSi0.75,FCC+Im,4,0.1482705,0.423814117,0.659574468,0.047172132,0.405362578,0.266011112,0.137380403,0.189813833,0.873827292,0.150296287,0.394185918,0.027396165,0.535818713,0.057227796
311,CuMnNiSn0.158,FCC+Im,4,0.311102436,0.32727957,0.810850749,0.162022386,0.502428561,0.350031441,0.179698004,0.427443029,0.827571632,0.500936892,0.247541636,0.364019133,0.848196881,0.256410256
